Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
117,26,5,125,4,Some Random Commen with Id 117
118,26,5,126,4,Some Random Commen with Id 118
119,26,5,5,7,Some Random Commen with Id 119
120,26,5,102,4,Some Random Commen with Id 120
121,27,6,34,7,Some Random Commen with Id 121
122,27,6,43,4,Some Random Commen with Id 122
123,27,6,151,4,Some Random Commen with Id 123
124,27,6,177,5,Some Random Commen with Id 124
125,27,6,3,0,Some Random Commen with Id 125
126,27,6,192,1,Some Random Commen with Id 126
127,27,6,198,0,Some Random Commen with Id 127
128,28,1,92,2,Some Random Commen with Id 128
129,28,1,132,9,Some Random Commen with Id 129
130,28,1,194,4,Some Random Commen with Id 130
131,28,1,126,0,Some Random Commen with Id 131
132,29,2,80,7,Some Random Commen with Id 132
133,29,2,116,7,Some Random Commen with Id 133
134,29,2,157,1,Some Random Commen with Id 134
135,29,2,75,6,Some Random Commen with Id 135
136,29,2,32,9,Some Random Commen with Id 136
137,30,8,103,6,Some Random Commen with Id 137
138,30,8,17,9,Some Random Commen with Id 138
139,30,8,128,0,Some Random Commen with Id 139
140,30,8,8,5,Some Random Commen with Id 140
141,30,8,14,3,Some Random Commen with Id 141
142,31,8,152,6,Some Random Commen with Id 142
143,32,6,78,2,Some Random Commen with Id 143
144,32,6,199,1,Some Random Commen with Id 144
145,32,6,105,9,Some Random Commen with Id 145
146,32,6,183,8,Some Random Commen with Id 146
147,32,6,86,4,Some Random Commen with Id 147
148,33,9,127,8,Some Random Commen with Id 148
149,33,9,93,8,Some Random Commen with Id 149
150,33,9,174,3,Some Random Commen with Id 150
151,33,9,107,2,Some Random Commen with Id 151
152,33,9,87,1,Some Random Commen with Id 152
153,33,9,120,0,Some Random Commen with Id 153
154,33,9,169,7,Some Random Commen with Id 154
155,33,9,185,2,Some Random Commen with Id 155
156,34,6,30,9,Some Random Commen with Id 156
157,34,6,34,3,Some Random Commen with Id 157
158,34,6,42,7,Some Random Commen with Id 158
159,34,6,131,0,Some Random Commen with Id 159
160,34,6,73,9,Some Random Commen with Id 160
161,35,0,78,4,Some Random Commen with Id 161
162,35,0,29,4,Some Random Commen with Id 162
163,35,0,22,2,Some Random Commen with Id 163
164,35,0,75,5,Some Random Commen with Id 164
165,35,0,76,1,Some Random Commen with Id 165
166,37,6,94,1,Some Random Commen with Id 166
167,37,6,129,0,Some Random Commen with Id 167
168,37,6,57,5,Some Random Commen with Id 168
169,37,6,125,0,Some Random Commen with Id 169
170,37,6,141,7,Some Random Commen with Id 170
171,37,6,135,2,Some Random Commen with Id 171
172,37,6,172,3,Some Random Commen with Id 172
173,38,4,134,5,Some Random Commen with Id 173
174,38,4,15,8,Some Random Commen with Id 174
175,38,4,142,3,Some Random Commen with Id 175
176,38,4,16,7,Some Random Commen with Id 176
177,38,4,98,6,Some Random Commen with Id 177
178,39,4,132,9,Some Random Commen with Id 178
179,39,4,114,9,Some Random Commen with Id 179
180,39,4,162,3,Some Random Commen with Id 180
181,39,4,81,8,Some Random Commen with Id 181
182,39,4,175,7,Some Random Commen with Id 182
183,39,4,143,9,Some Random Commen with Id 183
184,39,4,91,2,Some Random Commen with Id 184
