Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
143,35,3,51,1,Some Random Commen with Id 143
144,35,3,4,2,Some Random Commen with Id 144
145,35,3,131,2,Some Random Commen with Id 145
146,35,3,111,8,Some Random Commen with Id 146
147,35,3,155,0,Some Random Commen with Id 147
148,36,3,189,8,Some Random Commen with Id 148
149,36,3,194,9,Some Random Commen with Id 149
150,36,3,119,5,Some Random Commen with Id 150
151,36,3,7,4,Some Random Commen with Id 151
152,36,3,192,6,Some Random Commen with Id 152
153,36,3,191,3,Some Random Commen with Id 153
154,36,3,187,6,Some Random Commen with Id 154
155,36,3,12,3,Some Random Commen with Id 155
156,37,8,167,7,Some Random Commen with Id 156
157,37,8,189,3,Some Random Commen with Id 157
158,37,8,94,1,Some Random Commen with Id 158
159,38,1,47,6,Some Random Commen with Id 159
160,38,1,66,0,Some Random Commen with Id 160
161,39,5,51,3,Some Random Commen with Id 161
162,39,5,190,7,Some Random Commen with Id 162
